基金碼,年月日,基金統編,幣別,淨值(元)
T0598A 元大新興印尼債A,2019/04/26,42321314A,NTD,10.923
T0598B 元大新興印尼債B,2019/04/26,42321314B,NTD,9.1324
T0598C 元大新興印尼債B$,2019/04/26,42321314C,USD,9.7709
T0598D 元大新興印尼債BC,2019/04/26,42321314D,RMB,10.3596
T05A6A 元大新亞USD債A,2019/04/26,42481326A,NTD,10.4799
T05A6B 元大新亞USD債AH,2019/04/26,42481326B,NTD,9.8888
T05A6C 元大新亞USD債B,2019/04/26,42481326C,NTD,9.8224
T05A6D 元大新亞USD債A$,2019/04/26,42481326D,USD,10.2956
T05A6E 元大新亞USD債B$,2019/04/26,42481326E,USD,9.6421
T05A8A 元大新雙印4Y債A,2019/04/26,42538806A,NTD,9.8028
T05A8B 元大新雙印4Y債B,2019/04/26,42538806B,NTD,9.2061
T05A8C 元大新雙印4Y債A$,2019/04/26,42538806C,USD,9.5184
T05A8D 元大新雙印4Y債B$,2019/04/26,42538806D,USD,8.929
T05B1A 元大亞優高債Aa,2019/04/26,73636628A,NTD,10.3026
T05B1B 元大亞優高債Bd,2019/04/26,73636628B,NTD,10.2062
T05B1C 元大亞優高債Aa$,2019/04/26,73636628C,USD,10.294
T05B1D 元大亞優高債Bd$,2019/04/26,73636628D,USD,10.1978
T05B1E 元大亞優高債BdCh,2019/04/26,73636628E,RMB,10.1747
T0612A 景順人幣新亞息 A,2019/04/26,38522556A,NTD,10.9388
T0612B 景順人幣新亞息 B,2019/04/26,38522556B,NTD,8.3716
T0612C 景順人幣新亞息A$,2019/04/26,38522556C,USD,10.8268
T0612D 景順人幣新亞息B$,2019/04/26,38522556D,USD,8.3822
T0612E 景順人幣新亞息AC,2019/04/26,38522556E,RMB,11.7561
T0612F 景順人幣新亞息BC,2019/04/26,38522556F,RMB,9.1312
T0614A 景順2023新主債A,2019/04/26,42524129A,NTD,9.9789
T0614B 景順2023新主債B,2019/04/26,42524129B,NTD,9.5943
T0614C 景順2023新主債A$,2019/04/26,42524129C,USD,10.3208
T0614D 景順2023新主債B$,2019/04/26,42524129D,USD,9.7926
T0615A 景順2024新興債A,2019/04/26,72949003A,NTD,10.6662
T0615B 景順2024新興債B,2019/04/26,72949003B,NTD,10.3135
T0615C 景順2024新興債A$,2019/04/26,72949003C,USD,10.1042
T0615D 景順2024新興債B$,2019/04/26,72949003D,USD,9.7575
T0616A 景順2024新主債A,2019/04/26,72949019A,NTD,10.4905
T0616B 景順2024新主債A$,2019/04/26,72949019B,USD,9.9443
T0617A 景順2024優新債A,2019/04/26,72965328A,NTD,10.466
T0617B 景順2024優新債A$,2019/04/26,72965328B,USD,10.3948
T0617C 景順2024優新債B$,2019/04/26,72965328C,USD,10.2577
T0617D 景順2024優新債AC,2019/04/26,72965328D,RMB,10.4619
T0617E 景順2024優新債BC,2019/04/26,72965328E,RMB,10.2865
T0617F 景順2024優新債AZ,2019/04/26,72965328F,ZAR,11.6117
T0617G 景順2024優新債BZ,2019/04/26,72965328G,ZAR,11.2976
T0618A 景順2024精新債,2019/04/26,72976161A,NTD,10.4195
T0618B 景順2024精新債$,2019/04/26,72976161B,USD,10.3849
T0618C 景順2024精新債C,2019/04/26,72976161C,RMB,10.4201
T0619A 景順2028精債Bd,2019/04/26,73676959A,NTD,10.5581
T0619B 景順2028精債Bd$,2019/04/26,73676959B,USD,10.5355
T0619C 景順2028精債BdC,2019/04/26,73676959C,RMB,10.5211
T0620A 景順2025優新Aa$,2019/04/26,73710632A,USD,10.2235
T0620B 景順2025優新Bd$,2019/04/26,73710632B,USD,10.227
T0620C 景順2025優新AaC,2019/04/26,73710632C,RMB,10.1988
T0620D 景順2025優新BdC,2019/04/26,73710632D,RMB,10.2004
T0620E 景順2025優新AaZ,2019/04/26,73710632E,ZAR,10.3039
T0620F 景順2025優新BdZ,2019/04/26,73710632F,ZAR,10.3049
T0621A 景順2025階新Aa$,2019/04/26,74438800A,USD,10.0691
T0621B 景順2025階新Bd$,2019/04/26,74438800B,USD,10.068
T0621C 景順2025階新AaC,2019/04/26,74438800C,RMB,10.0781
T0621D 景順2025階新BdC,2019/04/26,74438800D,RMB,10.0796
T0737A 瀚亞全球高收債 A,2019/04/26,26257384A,NTD,12.5268
T0737B 瀚亞全球高收債 B,2019/04/26,26257384B,NTD,8.0628
T0737C 瀚亞全球高收債 C,2019/04/26,26257384C,NTD,8.6952
T0737D 瀚亞全球高收債A$,2019/04/26,26257384D,USD,10.6589
T0737E 瀚亞全球高收債B$,2019/04/26,26257384E,USD,7.9452
T0737F 瀚亞全球高收債AA,2019/04/26,26257384F,AUD,10.5063
T0737G 瀚亞全球高收債BA,2019/04/26,26257384G,AUD,7.0363
T0737H 瀚亞全球高收債AC,2019/04/26,26257384H,RMB,10.9308
T0737J 瀚亞全球高收債BC,2019/04/26,26257384I,RMB,7.2161
T0737K 瀚亞全球高收債 S,2019/04/26,26257384J,NTD,9.063
T0737L 瀚亞全球高收債S$,2019/04/26,26257384K,USD,9.29
T0737M 瀚亞全球高收債SC,2019/04/26,26257384L,RMB,8.8769
T0746A 瀚亞南非債A-RAND,2019/04/26,31999540A,ZAR,13.8424
T0746B 瀚亞南非債B-RAND,2019/04/26,31999540B,ZAR,9.3045
T0755A 瀚亞印策收益債A,2019/04/26,42481944A,NTD,9.69
T0755B 瀚亞印策收益債B,2019/04/26,42481944B,NTD,8.72
T0755C 瀚亞印策收益債B$,2019/04/26,42481944C,USD,8.54
T0755D 瀚亞印策收益債BC,2019/04/26,42481944D,RMB,8.66
T0755E 瀚亞印策收益債A$,2019/04/26,42481944E,USD,9.49
T0755F 瀚亞印策收益債S,2019/04/26,42481944F,NTD,8.8
T0755G 瀚亞印策收益債S$,2019/04/26,42481944G,USD,8.65
T0755H 瀚亞印策收益債SC,2019/04/26,42481944H,RMB,8.65
T0755J 瀚亞印策收益債IA,2019/04/26,42481944I,NTD,10
T0755K 瀚亞印策收益債IB,2019/04/26,42481944J,NTD,9.67
T0758A 瀚亞印度建設債A,2019/04/26,72953300A,NTD,10.2026
T0758B 瀚亞印度建設債B,2019/04/26,72953300B,NTD,9.6717
T0758C 瀚亞印度建設債B$,2019/04/26,72953300C,USD,9.6242
T0758D 瀚亞印度建設債BC,2019/04/26,72953300D,RMB,9.5111
T0761A 瀚亞3-6新債Aa,2019/04/26,74380764A,NTD,9.8667
T0761B 瀚亞3-6新債Aa$,2019/04/26,74380764B,USD,9.8645
T0761C 瀚亞3-6新債AaC,2019/04/26,74380764C,RMB,9.7665
T0761D 瀚亞3-6新債AaZ,2019/04/26,74380764D,ZAR,10.1787
T0811Y 保德信瑞騰,2019/04/26,20089122,NTD,15.6084
T0840A 保德信亞新興債 A,2019/04/26,26320990A,NTD,11.7747
T0840B 保德信亞新興債 B,2019/04/26,26320990B,NTD,8.5969
T0841A 保德信印機債Aa,2019/04/26,73676000A,NTD,10.5855
T0841B 保德信印機債Bd,2019/04/26,73676000B,NTD,10.3433
T0841C 保德信印機債Aa$,2019/04/26,73676000C,USD,10.5906
T0841D 保德信印機債Bd$,2019/04/26,73676000D,USD,10.3476
T0860A 保德信新企業債 A,2019/04/26,31968075A,NTD,11.3277
T0860B 保德信新企業債 B,2019/04/26,31968075B,NTD,8.0541
T0860C 保德信新企業債A$,2019/04/26,31968075C,USD,10.0257
T0860D 保德信新企業債B$,2019/04/26,31968075D,USD,10
T0928A 統一新興企業債 A,2019/04/26,31980155A,NTD,10.4474
T0928B 統一新興企業債 B,2019/04/26,31980155B,NTD,7.9518
T0932A 統一中國高收債A,2019/04/26,42326710A,NTD,11.0149
T0932B 統一中國高收債B,2019/04/26,42326710B,NTD,8.9921
T0932C 統一中國高收債A$,2019/04/26,42326710C,USD,11.4143
T0932D 統一中國高收債B$,2019/04/26,42326710D,USD,9.2887
T0932E 統一中國高收債AC,2019/04/26,42326710E,RMB,12.0752
T0932F 統一中國高收債BC,2019/04/26,42326710F,RMB,9.7835
T1034A 富邦全球投資 A,2019/04/26,26275812A,NTD,10.8546
T1034B 富邦全球投資 B,2019/04/26,26275812B,NTD,9.2537
T1034C 富邦全球投資 A$,2019/04/26,26275812C,USD,0.3506
T1034D 富邦全球投資 B$,2019/04/26,26275812D,USD,0.3321
T1034E 富邦全球投資 AC,2019/04/26,26275812E,RMB,2.5665
T1034F 富邦全球投資 BC,2019/04/26,26275812F,RMB,2.2031
T1039A 富邦策略高收債A,2019/04/26,31826230A,NTD,12.4787
T1039B 富邦策略高收債B,2019/04/26,31826230B,NTD,9.3816
T1039C 富邦策略高收債C,2019/04/26,31826230C,NTD,8.6173
T1039D 富邦策略高收債A$,2019/04/26,31826230D,USD,0.4223
T1039E 富邦策略高收債C$,2019/04/26,31826230E,USD,0.3025
T1041A 富邦中高債 A-CNY,2019/04/26,31946426A,RMB,13.6551
T1041B 富邦中高債 B-CNY,2019/04/26,31946426B,RMB,9.5005
T1041C 富邦中高債 A-USD,2019/04/26,31946426C,USD,2.0007
T1041D 富邦中高債 B-USD,2019/04/26,31946426D,USD,1.4418
T1042A 富邦中優債 A-CNY,2019/04/26,31946404A,RMB,12.1492
T1042B 富邦中優債 B-CNY,2019/04/26,31946404B,RMB,10.2504
T1042C 富邦中優債 A-USD,2019/04/26,31946404C,USD,1.7768
T1042D 富邦中優債 B-USD,2019/04/26,31946404D,USD,1.5194
T1073A 富邦新雙印主債A,2019/04/26,72948551A,NTD,10.4462
T1073B 富邦新雙印主債B,2019/04/26,72948551B,NTD,9.8572
T1073C 富邦新雙印主債A$,2019/04/26,72948551C,USD,9.8707
T1073D 富邦新雙印主債B$,2019/04/26,72948551D,USD,9.3186
T1079A 富邦6Y新興債$,2019/04/26,72968140A,USD,10.5769
T1079B 富邦6Y新興債C,2019/04/26,72968140B,RMB,10.6622
T1139A 摩根新市高收 A,2019/04/26,26297196A,NTD,10.9403
T1139B 摩根新市高收 B,2019/04/26,26297196B,NTD,7.2494
T1139C 摩根新市高收B$,2019/04/26,26297196C,USD,9.3636
T1139D 摩根新市高收BC,2019/04/26,26297196D,RMB,9.5011
T1140A 摩根亞洲高收債 A,2019/04/26,26376229A,NTD,12.7911
T1140B 摩根亞洲高收債 B,2019/04/26,26376229B,NTD,8.5221
T1140C 摩根亞洲高債B$,2019/04/26,26376229C,USD,8.8832
T1140E 摩根亞洲高收債BC,2019/04/26,26376229D,RMB,10.0033
T1233A 華南人民幣高收 A,2019/04/26,31972492A,NTD,10.6318
T1233B 華南人民幣高收 B,2019/04/26,31972492B,NTD,8.095
T1233C 華南人民幣高收AC,2019/04/26,31972492C,RMB,11.3396
T1233D 華南人民幣高收BC,2019/04/26,31972492D,RMB,8.6157
T1255A 華四年新美元債A,2019/04/26,42519293A,NTD,10.2601
T1255B 華四年新美元債B,2019/04/26,42519293B,NTD,9.7257
T1255C 華四年新美元債A$,2019/04/26,42519293C,USD,10.0316
T1255D 華四年新美元債B$,2019/04/26,42519293D,USD,9.512
T1434A 新光全球債券A,2019/04/26,42443463A,NTD,10.2925
T1434B 新光全球債券B,2019/04/26,42443463B,NTD,9.7504
T1434C 新光全球債券A$,2019/04/26,42443463C,USD,10.5003
T1434D 新光全球債券B$,2019/04/26,42443463D,USD,9.96
T1435A 新光新大東協債A,2019/04/26,42467422A,NTD,10.0281
T1435B 新光新大東協債B,2019/04/26,42467422B,NTD,9.2268
T1435C 新光新大東協債A$,2019/04/26,42467422C,USD,10.5017
T1435D 新光新大東協債B$,2019/04/26,42467422D,USD,9.6697
T1435E 新光新大東協債AC,2019/04/26,42467422E,RMB,10.2807
T1435F 新光新大東協債BC,2019/04/26,42467422F,RMB,9.466
T1439A 新光6Y全新興債,2019/04/26,72952267A,NTD,10.4561
T1439B 新光6Y全新興債$,2019/04/26,72952267B,USD,10.1067
T1439C 新光6Y全新興債C,2019/04/26,72952267C,RMB,10.8212
T1503A 瑞銀亞洲高收債 A,2019/04/26,26289695A,NTD,14.8129
T1503B 瑞銀亞洲高收債 B,2019/04/26,26289695B,NTD,8.7305
T1503C 瑞銀亞洲高收債A$,2019/04/26,26289695C,USD,10.4862
T1503D 瑞銀亞洲高收債B$,2019/04/26,26289695D,USD,9.6676
T1503E 瑞銀亞洲高收債AC,2019/04/26,26289695E,RMB,10.6192
T1503F 瑞銀亞洲高收債BC,2019/04/26,26289695F,RMB,9.6632
T1503G 瑞銀亞洲高收債AA,2019/04/26,26289695G,AUD,10.6099
T1503H 瑞銀亞洲高收債BA,2019/04/26,26289695H,AUD,9.7474
T1505A 瑞銀高收益債券A,2019/04/26,72948187A,NTD,10.3228
T1505B 瑞銀高收益債券B,2019/04/26,72948187B,NTD,9.5028
T1505C 瑞銀高收益債券A$,2019/04/26,72948187C,USD,10.3545
T1505D 瑞銀高收益債券B$,2019/04/26,72948187D,USD,9.5277
T1505E 瑞銀高收益債券AC,2019/04/26,72948187E,RMB,10.5199
T1505F 瑞銀高收益債券BC,2019/04/26,72948187F,RMB,9.5362
T1505G 瑞銀高收益債券AA,2019/04/26,72948187G,AUD,10.3115
T1505H 瑞銀高收益債券BA,2019/04/26,72948187H,AUD,9.4902
T1626A 群益亞新投資債 A,2019/04/26,31816633A,NTD,10.2266
T1626B 群益亞新投資債 B,2019/04/26,31816633B,NTD,7.64
T1626C 群益亞新投資債NA,2019/04/26,31816633C,NTD,10
T1626D 群益亞新投資債NB,2019/04/26,31816633D,NTD,10
T1628A 群益全球新興債 A,2019/04/26,31892569A,NTD,10.7604
T1628B 群益全球新興債 B,2019/04/26,31892569B,NTD,7.522
T1628C 群益全球新興債NA,2019/04/26,31892569C,NTD,10
T1628D 群益全球新興債NB,2019/04/26,31892569D,NTD,10
T1654A 群益中國高收債,2019/04/26,38621459A,NTD,10.2713
T1654B 群益中國高收債$,2019/04/26,38621459B,USD,11.1294
T1654C 群益中國高收債C,2019/04/26,38621459C,RMB,11.472
T1654D 群益中國高收債N,2019/04/26,38621459D,NTD,10
T1654E 群益中國高收債N$,2019/04/26,38621459E,USD,10
T1654F 群益中國高收債NC,2019/04/26,38621459F,RMB,10.4291
T1665A 群益全優高債A,2019/04/26,72960111A,NTD,10.4869
T1665B 群益全優高債B,2019/04/26,72960111B,NTD,9.9746
T1665C 群益全優高債NA,2019/04/26,72960111C,NTD,10.4867
T1665D 群益全優高債NB,2019/04/26,72960111D,NTD,9.9746
T1665E 群益全優高債A$,2019/04/26,72960111E,USD,10.3866
T1665F 群益全優高債B$,2019/04/26,72960111F,USD,9.8791
T1665G 群益全優高債NA$,2019/04/26,72960111G,USD,10.3865
T1665H 群益全優高債NB$,2019/04/26,72960111H,USD,9.879
T1665J 群益全優高債AC,2019/04/26,72960111I,RMB,10.5382
T1665K 群益全優高債BC,2019/04/26,72960111J,RMB,9.9394
T1665L 群益全優高債NAC,2019/04/26,72960111K,RMB,10.5383
T1665M 群益全優高債NBC,2019/04/26,72960111L,RMB,9.9394
T1809A 聯博新市企業債A2,2019/04/26,31936709A,NTD,10.7346
T1809B 聯博新市企業債AA,2019/04/26,31936709B,NTD,7.4125
T1809D 聯博新企業債 AA$,2019/04/26,31936709D,USD,13.6827
T1814A 聯博全球高收債T2,2019/04/26,38654486A,NTD,10.53
T1814B 聯博全球高收債TA,2019/04/26,38654486B,NTD,7.68
T1814C 聯博全球高收債A$,2019/04/26,38654486C,USD,12.08
T1814D 聯博全球高收債AC,2019/04/26,38654486D,RMB,12.14
T1814E 聯博全球高收債AA,2019/04/26,38654486E,AUD,11.66
T1814F 聯博全球高收債AZ,2019/04/26,38654486F,ZAR,12.95
T1814G 聯博全球高收債2C,2019/04/26,38654486G,RMB,16.08
T1815A 聯博新亞洲收A2,2019/04/26,42519821A,NTD,10.27
T1815B 聯博新亞洲收AA,2019/04/26,42519821B,NTD,9.36
T1815C 聯博新亞洲收AA $,2019/04/26,42519821C,USD,14.28
T1815D 聯博新亞洲收AA C,2019/04/26,42519821D,RMB,14.17
T1816A 聯博美國高收A2,2019/04/26,42546860A,NTD,10.38
T1816B 聯博美國高收AA,2019/04/26,42546860B,NTD,9.52
T1816C 聯博美國高收AA $,2019/04/26,42546860C,USD,14.36
T1816D 聯博美國高收AA C,2019/04/26,42546860D,RMB,14.32
T2038A 日盛亞洲高收債 A,2019/04/26,31827147A,NTD,12.6922
T2038B 日盛亞洲高收債 B,2019/04/26,31827147B,NTD,8.344
T2038C 日盛亞洲高收債AC,2019/04/26,31827147C,RMB,2.5003
T2038D 日盛亞洲高收債BC,2019/04/26,31827147D,RMB,1.6656
T2038E 日盛亞洲高收債A$,2019/04/26,31827147E,USD,0.385
T2038F 日盛亞洲高收債B$,2019/04/26,31827147F,USD,0.257
T2045A 日盛中國高收債A,2019/04/26,38648871A,NTD,11.2205
T2045B 日盛中國高收債B,2019/04/26,38648871B,NTD,9.0396
T2045C 日盛中國高收債AC,2019/04/26,38648871C,RMB,12.2363
T2045D 日盛中國高收債BC,2019/04/26,38648871D,RMB,9.8829
T2045E 日盛中國高收債A$,2019/04/26,38648871E,USD,12.4601
T2045F 日盛中國高收債B$,2019/04/26,38648871F,USD,10.0572
T2058A 日盛全球高收債A,2019/04/26,42480537A,NTD,10.1451
T2058B 日盛全球高收債B,2019/04/26,42480537B,NTD,9.1747
T2058C 日盛全球高收債A$,2019/04/26,42480537C,USD,10.3866
T2058D 日盛全球高收債B$,2019/04/26,42480537D,USD,9.3926
T2108A 柏瑞美國雙核收 A,2019/04/26,48873398A,NTD,11.7574
T2108B 柏瑞美國雙核收 B,2019/04/26,48873398B,NTD,7.5349
T2111A 柏瑞全球策略高 A,2019/04/26,10340936A,NTD,14.0261
T2111B 柏瑞全球策略高 B,2019/04/26,10340936B,NTD,6.7678
T2111C 柏瑞全球策高B-AU,2019/04/26,10340936C,AUD,8.4057
T2111D 柏瑞全策高 B-ZAR,2019/04/26,10340936D,ZAR,8.5225
T2111E 柏瑞全球策略高AC,2019/04/26,10340936E,RMB,12.4137
T2111F 柏瑞全球策略高BC,2019/04/26,10340936F,RMB,8.7137
T2111G 柏瑞全球策略高 N,2019/04/26,10340936H,NTD,8.9704
T2111H 柏瑞全球策略高NC,2019/04/26,10340936G,RMB,9.7388
T2111J 柏瑞全策略高N9,2019/04/26,10340936I,NTD,12.1493
T2111K 柏瑞全策略高N9 C,2019/04/26,10340936J,RMB,12.5978
T2111L 柏瑞全球策略高A$,2019/04/26,10340936K,USD,13.0092
T2111M 柏瑞全球策略高B$,2019/04/26,10340936L,USD,10.7689
T2111N 柏瑞全球策略高N$,2019/04/26,10340936M,USD,9.5752
T2111P 柏瑞全策略高N9 $,2019/04/26,10340936N,USD,11.8427
T2111R 柏瑞全球策略高NZ,2019/04/26,10340936P,ZAR,9.7397
T2111S 柏全球策略高 N9Z,2019/04/26,10340936Q,ZAR,12.8045
T2111T 柏瑞全球策略高Bt,2019/04/26,10340936R,NTD,8.66
T2111U 柏瑞全球策略高NA,2019/04/26,10340936S,AUD,9.4526
T2113A 柏瑞新興高收債 A,2019/04/26,25682798A,NTD,12.2439
T2113B 柏瑞新興高收債 B,2019/04/26,25682798B,NTD,6.9863
T2113C 柏瑞新興高收債AC,2019/04/26,25682798D,RMB,11.7453
T2113D 柏瑞新興高收債BC,2019/04/26,25682798C,RMB,8.7158
T2113E 柏瑞新興高收債N,2019/04/26,25682798E,NTD,8.9129
T2113F 柏瑞新興高收債N9,2019/04/26,25682798F,NTD,10.5253
T2113G 柏瑞新興高收債NC,2019/04/26,25682798G,RMB,9.4378
T2113J 柏瑞新興高收債A$,2019/04/26,25682798I,USD,11.1355
T2113K 柏瑞新興高收債B$,2019/04/26,25682798J,USD,9.3746
T2113L 柏瑞新興高收債N$,2019/04/26,25682798K,USD,9.5748
T2113M 柏瑞新興高債N9 $,2019/04/26,25682798L,USD,11.1529
T2117A 柏瑞新市企業債 A,2019/04/26,31827266A,NTD,11.901
T2117B 柏瑞新市企業債 B,2019/04/26,31827266B,NTD,8.4147
T2117C 柏瑞新市企業債AC,2019/04/26,31827266D,RMB,11.6168
T2117D 柏瑞新市企業債BC,2019/04/26,31827266C,RMB,9.4636
T2117E 柏瑞新市企業債N,2019/04/26,31827266E,NTD,9.092
T2117F 柏瑞新市企債N9,2019/04/26,31827266F,NTD,10.4509
T2117G 柏瑞新市企業債NC,2019/04/26,31827266G,RMB,9.8024
T2117H 柏瑞新市企債N9 C,2019/04/26,31827266H,RMB,11.1749
T2117J 柏瑞新市企業債A$,2019/04/26,31827266I,USD,10.6755
T2117K 柏瑞新市企業債B$,2019/04/26,31827266J,USD,9.5268
T2117L 柏瑞新市企業債N$,2019/04/26,31827266K,USD,9.5525
T2117M 柏瑞新市企債N9 $,2019/04/26,31827266L,USD,10.6576
T2117Q 柏瑞新市企業債NZ,2019/04/26,31827266O,ZAR,9.0314
T2118A 柏瑞新亞太策債 A,2019/04/26,38495354A,NTD,11.7391
T2118B 柏瑞新亞太策債 B,2019/04/26,38495354B,NTD,9.266
T2118C 柏瑞新亞太策債AC,2019/04/26,38495354D,RMB,12.4463
T2118D 柏瑞新亞太策債BC,2019/04/26,38495354C,RMB,9.8568
T2118E 柏瑞新亞太策債N,2019/04/26,38495354E,NTD,9.4273
T2118F 柏瑞新亞策債N9,2019/04/26,38495354F,NTD,10.4737
T2118G 柏瑞新亞太策債NC,2019/04/26,38495354G,RMB,10.0898
T2118H 柏瑞新亞策債N9 C,2019/04/26,38495354H,RMB,11.7313
T2118J 柏瑞新亞太策債A$,2019/04/26,38495354I,USD,11.3878
T2118K 柏瑞新亞太策債B$,2019/04/26,38495354J,USD,9.8767
T2118L 柏瑞新亞太策債N$,2019/04/26,38495354K,USD,9.6249
T2118M 柏瑞新亞策債N9 $,2019/04/26,38495354L,USD,10.8503
T2118S 柏瑞新亞太策債Ns,2019/04/26,38495354Q,NTD,9.7854
T2122A 柏瑞亞太高收債A,2019/04/26,42329391A,NTD,11.2574
T2122B 柏瑞亞太高收債B,2019/04/26,42329391B,NTD,9.1217
T2122C 柏瑞亞太高收債N,2019/04/26,42329391C,NTD,9.1219
T2122D 柏瑞亞太高收債AC,2019/04/26,42329391D,RMB,12.6016
T2122E 柏瑞亞太高收債BC,2019/04/26,42329391E,RMB,9.8148
T2122F 柏瑞亞太高收債NC,2019/04/26,42329391F,RMB,9.8152
T2122G 柏瑞亞太高收債A$,2019/04/26,42329391G,USD,11.9533
T2122H 柏瑞亞太高收債B$,2019/04/26,42329391H,USD,9.7455
T2122J 柏瑞亞太高收債N$,2019/04/26,42329391I,USD,9.746
T2122K 柏瑞亞太高收債N9,2019/04/26,42329391J,NTD,10.9542
T2122L 柏瑞亞太高收N9 C,2019/04/26,42329391K,RMB,11.7338
T2122M 柏瑞亞太高收N9 $,2019/04/26,42329391L,USD,11.548
T2211Y 復華全球債券,2019/04/26,14916692,NTD,14.1141
T2263Y 復華全球短期收益,2019/04/26,25590496A,NTD,11.8825
T2274Y 復華新興短期收益,2019/04/26,26305800,NTD,11.13
T2275A 復華新興高收債 A,2019/04/26,26305816A,NTD,9.69
T2275B 復華新興高收債 B,2019/04/26,26305816B,NTD,5.4
T2275C 復華新興高收債BZ,2019/04/26,26305816C,ZAR,11.99
T2275D 復華新興高收債BC,2019/04/26,26305816D,RMB,12.15
T2280A 復華南非幣短收 A,2019/04/26,31901878A,ZAR,14.32
T2280B 復華南非幣短收 B,2019/04/26,31901878B,ZAR,9
T2281A 復華南非幣長收 A,2019/04/26,31901899A,ZAR,13.87
T2281B 復華南非幣長收 B,2019/04/26,31901899B,ZAR,8.09
T2285A 復華新興人民債 A,2019/04/26,31939229A,RMB,12.15
T2285B 復華新興人民債 B,2019/04/26,31939229B,RMB,9
T2288Y 復華新興人民幣短,2019/04/26,38524294,NTD,10.7
T2299Y 復華六年新興債$,2019/04/26,72953202,USD,10.47
T22A3A 復華2024新興債$,2019/04/26,72966754A,USD,10.44
T22A3B 復華2024新興債C,2019/04/26,72966754B,RMB,10.47
T2540A 永豐中高收 A-CNY,2019/04/26,31842338B,RMB,2.4248
T2540B 永豐中高收 B-CNY,2019/04/26,31842338C,RMB,1.7596
T2540C 永豐中國高收債 B,2019/04/26,31842338D,NTD,8.1834
T2540Y 永豐中高收益債 A,2019/04/26,31842338A,NTD,10.9427
T2541A 永豐新興企業債 A,2019/04/26,31909604A,NTD,10.7751
T2541B 永豐新興企業債 B,2019/04/26,31909604B,NTD,7.7604
T2541C 永豐新興企業債AC,2019/04/26,31909604C,RMB,2.5345
T2541D 永豐新興企業債BC,2019/04/26,31909604D,RMB,2.0744
T2553A 永豐人幣債券 A,2019/04/26,42267705A,NTD,9.2763
T2553B 永豐人幣債券 B,2019/04/26,42267705B,NTD,7.89
