基金碼,年月日,基金統編,幣別,淨值(元)
T0406Y 匯豐成功,2019/04/26,76941376,NTD,43.91
T0408A 匯豐龍鳳I,2019/04/26,01031298B,NTD,53.18
T0408Y 匯豐龍鳳A,2019/04/26,01031298A,NTD,53.18
T0410Y 匯豐龍騰電子,2019/04/26,92017794,NTD,37.75
T0415Y 匯豐台灣精典,2019/04/26,73987671,NTD,24.63
T0425Y 匯豐金磚動力,2019/04/26,48686374,NTD,15.28
T0428Y 匯豐新鑽動力,2019/04/26,48784327,NTD,11.08
T0431Y 匯豐全球關鍵資源,2019/04/26,48925001,NTD,8.44
T0436A 匯豐中國動力 CNY,2019/04/26,25500903B,RMB,3.53
T0436B 匯豐中國動力 USD,2019/04/26,25500903C,USD,0.52
T0436Y 匯豐中國動力,2019/04/26,25500903A,NTD,16.19
T0439Y 匯豐黃金及礦業股,2019/04/26,25651866,NTD,5.26
T0453A 匯豐中國 A股聚 C,2019/04/26,38482745B,RMB,2.8758
T0453B 匯豐中國 A股聚 $,2019/04/26,38482745C,USD,0.4266
T0453Y 匯豐中國 A股匯聚,2019/04/26,38482745A,NTD,13.1861
T0475A 匯豐中國科技精選,2019/04/26,42325064A,NTD,9.98
T0475B 匯豐中國科技選 C,2019/04/26,42325064B,RMB,11.31
T0475C 匯豐中國科技選 $,2019/04/26,42325064C,USD,10.69
T0502Y 元多福,2019/04/26,01032058,NTD,52.82
T0503Y 元大多多基金,2019/04/26,92001765,NTD,17.46
T0504Y 元卓越,2019/04/26,92026219,NTD,44.28
T0506Y 元店頭,2019/04/26,20080023,NTD,8.36
T0508Y 元高科,2019/04/26,81584335,NTD,19.36
T0509Y 元大經貿基金,2019/04/26,83863951,NTD,37.03
T0513Y 新主流,2019/04/26,17139204,NTD,24.52
T0516Y 元大巴菲特基金,2019/04/26,18036281,NTD,26.26
T0537Y 元大亞太成長基金,2019/04/26,48708243,NTD,8.7
T0538Y 元大泛歐成長基金,2019/04/26,48753324,NTD,9.06
T0546A 元大全球公用能 A,2019/04/26,48952816A,NTD,9.16
T0546B 元大全球公用能 B,2019/04/26,48952816B,NTD,6.95
T0553Y 元大全球農業商機,2019/04/26,10348058,NTD,17.3
T0556A 元大新中國 $,2019/04/26,25520400B,USD,9.427
T0556B 元大新中國 C,2019/04/26,25520400C,RMB,9.85
T0556Y 元大新中國基金,2019/04/26,25520400A,NTD,9.41
T0557Y 元大印度基金,2019/04/26,25622390,NTD,12.82
T0558Y 元大新興亞洲,2019/04/26,25643156,NTD,11.36
T0560Y 元大華夏中小,2019/04/26,26206323,NTD,7.57
T0567Y 元2001,2019/04/26,00974066,NTD,62.17
T0596A 元大大中華 TMT,2019/04/26,38639090A,NTD,10.28
T0596B 元大大中華 TMT C,2019/04/26,38639090B,RMB,11.28
T0597A 元大全股票入息A,2019/04/26,42307684A,NTD,9.97
T0597B 元大全股票入息B,2019/04/26,42307684B,NTD,8.63
T0597C 元大全股票入息B$,2019/04/26,42307684C,USD,8.699
T0601Y 景順潛力,2019/04/26,92019786,NTD,33.22
T0603Y 景順全球科技,2019/04/26,97993482,NTD,24.18
T0605Y 景順台灣科技,2019/04/26,73989256,NTD,31.38
T0606Y 景順主流,2019/04/26,17140568,NTD,18.18
T0609Y 景順全球康健,2019/04/26,14687516,NTD,18.83
T0704Y 瀚亞高科技,2019/04/26,92003102,NTD,59.47
T0705Y 瀚亞外銷,2019/04/26,92012572,NTD,40.91
T0708Y 瀚亞菁華,2019/04/26,97990696,NTD,22.34
T0711Y 瀚亞中小型股,2019/04/26,81595924,NTD,21.21
T0715Y 瀚亞電通網,2019/04/26,17603899,NTD,15.48
T0716Y 瀚亞歐洲,2019/04/26,17611814,NTD,11
T0718Y 瀚亞美國高科技,2019/04/26,14692623,NTD,29.21
T0723A 瀚亞印度 USD,2019/04/26,21704130B,USD,13.97
T0723B 瀚亞印度 CNY,2019/04/26,21704130C,RMB,14.5
T0723Y 瀚亞印度,2019/04/26,21704130A,NTD,31.06
T0727B 瀚亞亞太高股息 B,2019/04/26,48733897B,NTD,9.14
T0727C 瀚亞亞太高股息A$,2019/04/26,48733897C,USD,10.87
T0727D 瀚亞亞太高股息B$,2019/04/26,48733897D,USD,7.26
T0727E 瀚亞亞太高股息AC,2019/04/26,48733897E,RMB,11.86
T0727F 瀚亞亞太高股息BC,2019/04/26,48733897F,RMB,9.09
T0727Y 瀚亞亞太高股息 A,2019/04/26,48733897A,NTD,15.35
T0732Y 瀚亞亞太基礎建設,2019/04/26,48885958,NTD,12.26
T0735B 瀚亞非洲B-RAND,2019/04/26,10357632B,ZAR,11.21
T0735Y 瀚亞非洲 A,2019/04/26,10357632A,NTD,20.4
T0736Y 瀚亞巴西,2019/04/26,25633559,NTD,5.68
T0739A 瀚亞中國 A股C,2019/04/26,26384902B,RMB,12.59
T0739Y 瀚亞中國 A股,2019/04/26,26384902A,NTD,13.51
T0751A 瀚亞全球策收股A,2019/04/26,42443772A,NTD,11.27
T0751B 瀚亞全球策收股B,2019/04/26,42443772B,NTD,10.35
T0751C 瀚亞全球策收股A$,2019/04/26,42443772C,USD,11.58
T0751D 瀚亞全球策收股B$,2019/04/26,42443772D,USD,10.61
T0751E 瀚亞全球策收股AC,2019/04/26,42443772E,RMB,11.69
T0751F 瀚亞全球策收股BC,2019/04/26,42443772F,RMB,10.53
T0802Y 保德信高成長Aa,2019/04/26,01032183,NTD,95.58
T0803Y 保德信金滿意,2019/04/26,92013967,NTD,42.93
T0804Y 保德信亞太,2019/04/26,92029139,NTD,21.34
T0806Y 保德信店頭,2019/04/26,97988636,NTD,34.07
T0807Y 保德信第一,2019/04/26,20097447,NTD,26.07
T0808Y 保德信科技島,2019/04/26,73990649,NTD,26.74
T0809Y 保德信大中華,2019/04/26,73998065A,NTD,30.69
T0810Y 保德信中小型,2019/04/26,83866508,NTD,46.59
T0812Y 保德信新世紀,2019/04/26,17602625,NTD,10.24
T0815Y 保德信台商全方位,2019/04/26,13528977,NTD,36.14
T0816B 保德信全球醫療 $,2019/04/26,14692638B,USD,9.81
T0816Y 保德信全球醫療生,2019/04/26,14692638A,NTD,32.57
T0817Y 保德信全球中小,2019/04/26,98755451A,NTD,28.42
T0826Y 保德信全球資源,2019/04/26,48938250,NTD,7.68
T0827Y 保德信全球基礎建,2019/04/26,48970455,NTD,13.3
T0828Y 保德信全球消費商,2019/04/26,10307155,NTD,19.27
T0830Y 保德信拉丁美洲,2019/04/26,25674811,NTD,7.35
T0832B 保德信中國品牌 $,2019/04/26,26290779B,USD,10.18
T0832C 保德信中國品牌 C,2019/04/26,26290779C,RMB,10.27
T0832Y 保德信中國品牌,2019/04/26,26290779A,NTD,11.01
T0836B 保德信中國中小 $,2019/04/26,38551094B,USD,9.13
T0836C 保德信中國中小 C,2019/04/26,38551094C,RMB,9.28
T0836Y 保德信中國中小,2019/04/26,38551094A,NTD,8.83
T0901Y 統一統信,2019/04/26,77537493,NTD,30.3
T0902A 統一全天候I,2019/04/26,01031699B,NTD,113.01
T0902Y 統一全天候A,2019/04/26,01031699A,NTD,112.55
T0903Y 統一黑馬,2019/04/26,92002244,NTD,59.87
T0904Y 統一龍馬,2019/04/26,92012762,NTD,67.35
T0906Y 統一中小,2019/04/26,97977878,NTD,24.73
T0909Y 統一經建,2019/04/26,81581724,NTD,47.4
T0910Y 統一奔騰,2019/04/26,73990253,NTD,59.11
T0911A 統一大滿貫I,2019/04/26,17605622B,NTD,33.79
T0911Y 統一大滿貫A,2019/04/26,17605622A,NTD,33.79
T0912Y 統一亞太,2019/04/26,18030553,NTD,25.09
T0921Y 統一強漢,2019/04/26,48863201A,NTD,26.04
T0922Y 統一台灣動力,2019/04/26,48934304,NTD,17.88
T0923Y 統一大龍印,2019/04/26,25637393,NTD,14.72
T0924Y 統一大中華中小,2019/04/26,26202889A,NTD,10.88
T0925Y 統一亞洲科技能源,2019/04/26,26318517,NTD,16.34
T0927Y 統一亞洲大金磚,2019/04/26,31841577,NTD,12.53
T0931Y 統一大龍騰中國,2019/04/26,38592911A,NTD,10.08
T0933A 統一全球新科技,2019/04/26,42386152A,NTD,14.39
T0933B 統一全球新科技 $,2019/04/26,42386152B,USD,14.99
T0933C 統一全球新科技 C,2019/04/26,42386152C,RMB,15.61
T1001B 富邦FB I,2019/04/26,00974018B,NTD,13.44
T1001Y 富邦FB A,2019/04/26,00974018A,NTD,13.44
T1004Y 富邦精準,2019/04/26,92002384,NTD,45.96
T1005Y 富邦長紅,2019/04/26,92010477,NTD,62.19
T1010Y 精銳FB,2019/04/26,20089755,NTD,11.5
T1011Y 富邦高成長,2019/04/26,81585475,NTD,23.96
T1012Y 科技FB,2019/04/26,83864683,NTD,24.38
T1017Y 富邦台灣心,2019/04/26,17148301,NTD,22.19
T1028B 富邦大中華成長 $,2019/04/26,48908684B,USD,0.2005
T1028Y 富邦大中華成長,2019/04/26,48908684A,NTD,6.2
T1102Y 摩根台灣增長,2019/04/26,01032162,NTD,50.67
T1103Y 摩根新興日本,2019/04/26,92005896,NTD,22.82
T1104Y 摩根新興科技,2019/04/26,92012025,NTD,54.76
T1106Y 摩根亞洲,2019/04/26,92023780,NTD,60.12
T1108Y 摩根龍揚,2019/04/26,97999612,NTD,34
T1109Y 摩根東方科技,2019/04/26,20096209,NTD,33.16
T1110Y 摩根大歐洲,2019/04/26,73980092,NTD,17.2
T1111Y 摩根中小,2019/04/26,73989501,NTD,23.1
T1119Y 摩根全球α,2019/04/26,29245757,NTD,18.73
T1124Y 摩根絕對日本,2019/04/26,48727760,NTD,14.02
T1125Y 摩根新興35,2019/04/26,48768614,NTD,14.02
T1129Y 摩根新絲路,2019/04/26,48974190,NTD,9.64
T1130Y 摩根東方內需機會,2019/04/26,10313109,NTD,19.05
T1131Y 摩根金龍收成,2019/04/26,10348445,NTD,22.77
T1134Y 摩根中國亮點,2019/04/26,25627402,NTD,13.62
T1135B 摩根台灣金磚I,2019/04/26,25636367B,NTD,19.93
T1135Y 摩根台灣金磚A,2019/04/26,25636367A,NTD,19.93
T1136Y 摩根新金磚五國,2019/04/26,25684986,NTD,12.45
T1142B 摩根中國 A股 USD,2019/04/26,31944996B,USD,11.79
T1142Y 摩根中國 A股,2019/04/26,31944996A,NTD,15.04
T1145A 摩根泛亞太入息 A,2019/04/26,38532914A,NTD,12.19
T1145B 摩根泛亞太入息 B,2019/04/26,38532914B,NTD,10.12
T1145C 摩根泛亞太入息B$,2019/04/26,38532914C,USD,9.84
T1145E 摩根泛亞太入息BC,2019/04/26,38532914D,RMB,10.36
T1155A 摩根環股收益A,2019/04/26,42381001A,NTD,11.84
T1155B 摩根環股收益B,2019/04/26,42381001B,NTD,10.41
T1155C 摩根環股收益B$,2019/04/26,42381001C,USD,10.8
T1155D 摩根環股收益BC,2019/04/26,42381001D,RMB,11.02
T1201Y 華南永昌永昌,2019/04/26,00973762,NTD,20.09
T1217Y 華南永昌全球精品,2019/04/26,48824897,NTD,16.87
T1222Y 華南永昌全球神農,2019/04/26,48963047,NTD,9.99
T1238A 華南永昌中國A股C,2019/04/26,38546656B,RMB,8.38
T1238B 華南永昌中國A股$,2019/04/26,38546656C,USD,8.22
T1238Y 華南永昌中國A 股,2019/04/26,38546656A,NTD,12.09
T1249Y 華南物聯網,2019/04/26,42298518,NTD,12.24
T1402B 新光亞洲精選 USD,2019/04/26,15743509B,USD,22.26
T1402Y 新光亞洲精選,2019/04/26,15743509A,NTD,22.62
T1403B 新光中國成長$,2019/04/26,25515841B,USD,9.58
T1403C 新光中國成長C,2019/04/26,25515841C,RMB,9.35
T1403Y 新光中國成長,2019/04/26,25515841A,NTD,9.57
T1405Y 新光創新科技,2019/04/26,81585242,NTD,13.82
T1407Y 新光店頭,2019/04/26,73998071,NTD,23.31
T1408Y 新光大三通,2019/04/26,13986924,NTD,18.43
T1411Y 新光台灣富貴,2019/04/26,00974241,NTD,23.6
T1430B 新光全球生醫療 $,2019/04/26,38600433B,USD,11.2
T1430Y 新光全球生技醫療,2019/04/26,38600433A,NTD,10.95
T1502Y 瑞銀全球創新趨勢,2019/04/26,48955264,NTD,7.43
T1601Y 群益奧斯卡,2019/04/26,48675778,NTD,29.8
T1603Y 群益葛萊美,2019/04/26,48749899,NTD,24.69
T1605B 群益新興金鑽 USD,2019/04/26,48852561B,USD,11.8301
T1605Y 群益新興金鑽,2019/04/26,48852561A,NTD,9.05
T1608Y 群益中小,2019/04/26,92028997,NTD,45.84
T1609B 群益馬拉松I,2019/04/26,97984293B,NTD,120.12
T1609Y 群益馬拉松A,2019/04/26,97984293A,NTD,120.12
T1610Y 群益東方盛世,2019/04/26,25602535,NTD,8.87
T1611B 群益華夏盛世$,2019/04/26,25629892B,USD,9.8647
T1611C 群益華夏盛世C,2019/04/26,25629892C,RMB,10.3758
T1611Y 群益華夏盛世,2019/04/26,25629892A,NTD,16.3
T1612Y 群益店頭市場,2019/04/26,20081352,NTD,93.96
T1613Y 群益長安,2019/04/26,81591434,NTD,30.09
T1614Y 群益創新科技,2019/04/26,19339782,NTD,34.13
T1619Y 群益印巴雙星,2019/04/26,25675430A,NTD,11.57
T1620Y 群益亞太中小,2019/04/26,25691699,NTD,11.11
T1622B 群益東協成長 USD,2019/04/26,26285038C,USD,11.6248
T1622C 群益東協成長 CNY,2019/04/26,26285038B,RMB,12.9809
T1622Y 群益東協成長,2019/04/26,26285038A,NTD,11.52
T1623B 群益印度中小$,2019/04/26,26300586B,USD,13.1777
T1623C 群益印度中小C,2019/04/26,26300586C,RMB,14.5631
T1623Y 群益印度中小,2019/04/26,26300586A,NTD,15.27
T1625B 群益大中華雙力 $,2019/04/26,26385629B,USD,9.9585
T1625C 群益大中華雙力 C,2019/04/26,26385629C,RMB,13.0592
T1625Y 群益大中華雙力,2019/04/26,26385629A,NTD,10.33
T1649A 群益全球生技,2019/04/26,38486708A,NTD,15.24
T1649B 群益全球生技$,2019/04/26,38486708B,USD,15.4212
T1650A 群益美國新創,2019/04/26,38486685A,NTD,15.23
T1650B 群益美國新創$,2019/04/26,38486685B,USD,15.7425
T1651A 群益中國新機會,2019/04/26,38524463A,NTD,8.23
T1651B 群益中國新機會$,2019/04/26,38524463B,USD,8.6094
T1651C 群益中國新機會C,2019/04/26,38524463C,RMB,7.6223
T1652A 群益工業國A,2019/04/26,38531773A,NTD,10.94
T1652B 群益工業國B,2019/04/26,38531773B,NTD,9.01
T1652C 群益工業國A$,2019/04/26,38531773C,USD,11.6225
T1652D 群益工業國B$,2019/04/26,38531773D,USD,9.546
T1652E 群益工業國AC,2019/04/26,38531773F,RMB,11.8128
T1652F 群益工業國BC,2019/04/26,38531773E,RMB,10.6348
T1657A 群益大印度基金,2019/04/26,42369604A,NTD,12.09
T1657B 群益大印度基金$,2019/04/26,42369604B,USD,12.7189
T1657C 群益大印度基金C,2019/04/26,42369604C,RMB,13.2558
T1661A 群益全球特別A,2019/04/26,42519414A,NTD,9.94
T1661B 群益全球特別B,2019/04/26,42519414B,NTD,9.09
T1661C 群益全球特別A$,2019/04/26,42519414C,USD,10.0016
T1661D 群益全球特別B$,2019/04/26,42519414D,USD,9.1485
T1661E 群益全球特別AC,2019/04/26,42519414E,RMB,10.2256
T1661F 群益全球特別BC,2019/04/26,42519414F,RMB,9.1878
T1701Y 德信大發,2019/04/26,97972846,NTD,29.88
T1706Y 德信數位時代,2019/04/26,18033138,NTD,31.77
T1712Y 德信中國精選成長,2019/04/26,25689835,NTD,12.39
T1713Y 德信台灣主流中小,2019/04/26,26288534,NTD,18.72
T1802Y 聯博大利,2019/04/26,97997635,NTD,36.46
T2003Y 日盛上選Aa,2019/04/26,81584975,NTD,34.2
T2004Y 日盛小而美,2019/04/26,73988876,NTD,18.59
T2005Y 日盛精選五虎,2019/04/26,17147078,NTD,36.93
T2006Y 日盛高科技,2019/04/26,17607591,NTD,18.46
T2007Y 日盛基金,2019/04/26,20084317,NTD,11.72
T2011Y 日盛新台商,2019/04/26,94991068,NTD,39.98
T2029Y 日盛亞洲機會基金,2019/04/26,48925706,NTD,7.16
T2030Y 日盛首選,2019/04/26,48948481,NTD,17.39
T2031Y 日盛全球抗暖化,2019/04/26,48968970,NTD,11.32
T2036Y 日盛MIT 主流,2019/04/26,26273336,NTD,15.64
T2037Y 日盛中國內需動力,2019/04/26,26323737,NTD,9.79
T2055A 日盛中國戰略A股,2019/04/26,42449987A,NTD,10.62
T2055B 日盛中國戰略A股C,2019/04/26,42449987B,RMB,10.57
T2055C 日盛中國戰略A股$,2019/04/26,42449987C,USD,10.26
T2101Y 柏瑞巨人,2019/04/26,20094820,NTD,12.81
T2107Y 柏瑞拉丁美洲,2019/04/26,48807089,NTD,10.22
T2109A 柏瑞亞太高股息 A,2019/04/26,48944099A,NTD,13.63
T2109B 柏瑞亞太高股息 B,2019/04/26,48944099B,NTD,8.82
T2109C 柏瑞亞太高股息AC,2019/04/26,48944099F,RMB,14.46
T2109D 柏瑞亞太高股息BC,2019/04/26,48944099C,RMB,9.62
T2109E 柏瑞亞太高股息N,2019/04/26,48944099D,NTD,11.63
T2109F 柏瑞亞太高股息NC,2019/04/26,48944099E,RMB,11.53
T2109J 柏瑞亞太高股息A$,2019/04/26,48944099I,USD,9.5
T2109L 柏瑞亞太高股息N$,2019/04/26,48944099K,USD,11.84
T2114Y 柏瑞五國金勢力建,2019/04/26,26259496,NTD,7.18
T2120A 柏瑞亞洲亮點股AC,2019/04/26,38547873B,RMB,13.62
T2120Y 柏瑞亞洲亮點股A,2019/04/26,38547873A,NTD,13.88
T2124A 柏瑞特股息收 A,2019/04/26,42468457A,NTD,10.53
T2124B 柏瑞特股息收 B,2019/04/26,42468457B,NTD,9.37
T2124C 柏瑞特股息收 N,2019/04/26,42468457C,NTD,9.46
T2124D 柏瑞特股息收N9,2019/04/26,42468457D,NTD,10.52
T2124E 柏瑞特股息收 AC,2019/04/26,42468457E,RMB,11.23
T2124F 柏瑞特股息收 BC,2019/04/26,42468457F,RMB,9.68
T2124G 柏瑞特股息收 NC,2019/04/26,42468457G,RMB,9.47
T2124H 柏瑞特股息收N9C,2019/04/26,42468457H,RMB,10.96
T2124J 柏瑞特股息收 A$,2019/04/26,42468457I,USD,10.9
T2124K 柏瑞特股息收 B$,2019/04/26,42468457J,USD,9.71
T2124L 柏瑞特股息收 N$,2019/04/26,42468457K,USD,9.57
T2124M 柏瑞特股息收N9$,2019/04/26,42468457L,USD,10.68
T2124N 柏瑞特股息收 BA,2019/04/26,42468457M,AUD,9.67
T2124P 柏瑞特股息收 NA,2019/04/26,42468457N,AUD,9.67
T2203Y 復華基金,2019/04/26,81587889,NTD,21.74
T2205Y FH高成,2019/04/26,73998086,NTD,69.72
T2208Y FH數位,2019/04/26,17608487,NTD,47.4
T2210Y FH中小,2019/04/26,18488279,NTD,68.1
T2216Y 復華全方位,2019/04/26,21759676,NTD,29.38
T2219Y 復華亞太成長,2019/04/26,48837540,NTD,12.96
T2252A 復華全球大趨勢 $,2019/04/26,10300441B,USD,12.78
T2252Y 復華全球大趨勢,2019/04/26,10300441A,NTD,20.09
T2260Y 復華華人世紀,2019/04/26,10374246,NTD,17.1
T2269Y 復華全球原物料,2019/04/26,25676249,NTD,8.57
T2271Y 復華大中華中小策,2019/04/26,26276235,NTD,8.74
T2278Y 復華東協世紀,2019/04/26,26334404,NTD,12.48
T2286Y 復華全球消費基金,2019/04/26,31980113A,NTD,12.82
T2287A 復華美國新星 USD,2019/04/26,31980129B,USD,12.85
T2287Y 復華美國新星基金,2019/04/26,31980129A,NTD,13.03
T2292A 復華中新經濟A 股,2019/04/26,42303511A,NTD,8.83
T2292B 復華中新A 股 C,2019/04/26,42303511B,RMB,9.69
T2294A 復華全物聯科技,2019/04/26,42400078A,NTD,14.45
T2294B 復華全物聯科技 $,2019/04/26,42400078B,USD,15.01
T2501Y 永豐永豐Aa,2019/04/26,81594690,NTD,33.97
T2503Y 永豐高科技,2019/04/26,17152509,NTD,24.49
T2506Y 永豐中小Aa,2019/04/26,13998344,NTD,53.56
T2520Y 永豐領航科技,2019/04/26,73992013,NTD,39.92
T2527Y 永豐主流品牌,2019/04/26,48890039,NTD,18.78
T2531Y 永豐亞洲民生消費,2019/04/26,25599877,NTD,12.61
T2539A 永豐中國經建 CNY,2019/04/26,31812778B,RMB,4.74
T2539Y 永豐中國經建,2019/04/26,31812778A,NTD,21.74
T2620Y 中信台灣活力A,2019/04/26,48893417,NTD,14.44
T2627A 中信全球股票息 A,2019/04/26,38654726A,NTD,9.72
T2627B 中信全球股票息 B,2019/04/26,38654726B,NTD,9
T2701Y 宏利臺灣股息Aa,2019/04/26,73982057,NTD,25.66
T2703Y 宏利台灣動力Aa,2019/04/26,17144889,NTD,30.42
T2723A 宏利精選中華CH,2019/04/26,48916256B,RMB,2.61
T2723Y 宏利精選中華,2019/04/26,48916256A,NTD,11.77
T2726A 宏利亞太中小 CNY,2019/04/26,25677726B,RMB,3.4505
T2726B 宏利亞太中小 USD,2019/04/26,25677726C,USD,0.552
T2726Y 宏利亞太中小企業,2019/04/26,25677726A,NTD,15.74
T2776A 宏利全球動力股C,2019/04/26,42450034B,RMB,10
T2776Y 宏利全球動力股票,2019/04/26,42450034A,NTD,11.35
T3101Y 貝萊德寶利基金,2019/04/26,19330712,NTD,27.21
T3114A 貝萊德亞數據A,2019/04/26,42367768A,NTD,11.94
T3114B 貝萊德亞數據B,2019/04/26,42367768B,NTD,9.76
T3114C 貝萊德亞數據BC,2019/04/26,42367768C,RMB,10.93
T3114D 貝萊德亞數據B$,2019/04/26,42367768D,USD,10.72
T3201S 野村優質S,2019/04/26,19330754B,NTD,10.02
T3201Y 野村優質,2019/04/26,19330754A,NTD,36.41
T3203Y 野村成長,2019/04/26,17146752,NTD,30.58
T3205Y 野村e 科技,2019/04/26,18037937,NTD,19.5
T3207S 野村中小S,2019/04/26,18488469B,NTD,10
T3207Y 野村中小,2019/04/26,18488469A,NTD,46.83
T3208Y 野村全球品牌,2019/04/26,14697373,NTD,29.16
T3209A 野村全球高股息 A,2019/04/26,94988015A,NTD,19.88
T3209B 野村全球高股息 B,2019/04/26,94988015B,NTD,13.11
T3209E 野村全球高股息AC,2019/04/26,94988015C,RMB,12.35
T3209F 野村全球高股息BC,2019/04/26,94988015D,RMB,10.98
T3213A 野村歐洲高股息 A,2019/04/26,99975165A,NTD,11.21
T3213B 野村歐洲高股息 B,2019/04/26,99975165B,NTD,7.85
T3217A 野村亞太高股息 A,2019/04/26,48745964A,NTD,13.3
T3217B 野村亞太高股息 B,2019/04/26,48745964B,NTD,9.19
T3217E 野村亞太高股息AC,2019/04/26,48745964C,RMB,10.79
T3217F 野村亞太高股息BC,2019/04/26,48745964D,RMB,10.76
T3218Y 野村台灣運籌,2019/04/26,00988316,NTD,36.87
T3219Y 野村鴻運,2019/04/26,00968493,NTD,19.96
T3220C 野村環球 USD,2019/04/26,01021518C,USD,13.48
T3220E 野村環球 CNY,2019/04/26,01021518B,RMB,17.31
T3220Y 野村環球,2019/04/26,01021518A,NTD,18.92
T3223Y 野村積極成長,2019/04/26,01031564,NTD,12.95
T3224Y 野村新馬,2019/04/26,92017008,NTD,15.41
T3227Y 野村泰國,2019/04/26,20089404,NTD,41.7
T3228Y 野村高科技,2019/04/26,17600534,NTD,10.21
T3236Y 野村台灣高股,2019/04/26,99973878,NTD,24.24
T3237Y 野村全球生技醫療,2019/04/26,48844514,NTD,16.4
T3246Y 野村大俄羅斯,2019/04/26,10306992,NTD,8.26
T3248Y 野村中國機會,2019/04/26,25530596,NTD,14.27
T3251Y 野村巴西,2019/04/26,25652008,NTD,6.41
T3254Y 野村印度潛力,2019/04/26,26278374,NTD,13.85
T3255Y 野村印尼潛力,2019/04/26,26278389,NTD,10.29
T3267A 野村歐洲中小成,2019/04/26,38620711A,NTD,10.58
T3267C 野村歐洲中小成 $,2019/04/26,38620711B,USD,11.24
T3267E 野村歐洲中小成 C,2019/04/26,38620711C,RMB,12.07
T3293Y 野村日本領先基金,2019/04/26,42333108A,NTD,11.32
T3303Y 聯邦精選科技,2019/04/26,17597236,NTD,12.94
T3305Y 聯邦中國龍,2019/04/26,18496290,NTD,26.06
T3342A 聯邦全高息策A,2019/04/26,42525400A,NTD,10.1975
T3342B 聯邦全高息策B,2019/04/26,42525400B,NTD,9.7486
T3342C 聯邦全高息策A$,2019/04/26,42525400C,USD,10.0208
T3342D 聯邦全高息策B$,2019/04/26,42525400D,USD,9.5831
T3501Y 鋒裕匯理阿波羅Aa,2019/04/26,17597600,NTD,10.83
T3518Y 鋒裕匯理亞新富Aa,2019/04/26,26378535,NTD,20.78
T3601Y 安聯台灣大壩,2019/04/26,17604124,NTD,30.61
T3604Y 安聯台灣科技,2019/04/26,18480065,NTD,49.87
T3605B 安聯全球生技 USD,2019/04/26,14693593B,USD,8.99
T3605Y 安聯全球生技趨勢,2019/04/26,14693593A,NTD,33.9
T3608Y 安聯亞洲動態,2019/04/26,99337168,NTD,22.51
T3610Y 安聯全球新興,2019/04/26,99978472,NTD,17.58
T3615Y 安聯全球綠能,2019/04/26,48806595,NTD,9.15
T3617Y 安聯全球人口,2019/04/26,48937267,NTD,12.28
T3618Y 安聯全球農金,2019/04/26,48981946,NTD,9.43
T3619Y 安聯台灣智慧,2019/04/26,48997911,NTD,33.75
T3621Y 安聯中國策略,2019/04/26,25589337A,NTD,15.61
T3622Y 安聯全球油礦,2019/04/26,25627819,NTD,8.2
T3623Y 安聯中國東協,2019/04/26,25680150,NTD,15.91
T3631A 安聯中新思路,2019/04/26,42319470A,NTD,13
